id,title,category,text,source,source_type,date
381,SEBI Regulation 381,KYC Norms,The regulation states that market intermediaries should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-07-14
382,SEBI Regulation 382,Risk Management,"Under SEBI guidelines, mutual fund houses are required to disclose KYC documentation within 10 days.",SEBI,synthetic,2024-02-02
383,SEBI Regulation 383,IPO Regulations,"Under SEBI guidelines, listed companies are required to disclose insider trading restrictions within 4 days.",SEBI,synthetic,2023-01-03
384,SEBI Regulation 384,Insider Trading,The regulation states that portfolio managers should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2020-09-18
385,SEBI Regulation 385,Insider Trading,"As per SEBI circular, listed companies must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2024-12-08
386,SEBI Regulation 386,Compliance Reporting,"As per SEBI circular, stock brokers must ensure KYC documentation to avoid violations.",SEBI,synthetic,2021-09-22
387,SEBI Regulation 387,KYC Norms,"As per SEBI circular, market intermediaries must ensure audit records to avoid violations.",SEBI,synthetic,2021-09-16
388,SEBI Regulation 388,KYC Norms,"As per SEBI circular, designated persons must ensure KYC documentation to avoid violations.",SEBI,synthetic,2020-06-30
389,SEBI Regulation 389,Insider Trading,SEBI mandates that all designated persons must comply with insider trading restrictions. Failure may result in penalties up to Rs. 4 crores.,SEBI,synthetic,2020-11-24
390,SEBI Regulation 390,Stock Brokers,"Under SEBI guidelines, mutual fund houses are required to disclose financial disclosures within 5 days.",SEBI,synthetic,2020-09-12
391,SEBI Regulation 391,IPO Regulations,The regulation states that mutual fund houses should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2023-08-20
392,SEBI Regulation 392,Mutual Funds,The regulation states that stock brokers should maintain audit records for transparency and compliance.,SEBI,synthetic,2023-09-11
393,SEBI Regulation 393,Corporate Governance,The regulation states that listed companies should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2023-02-11
394,SEBI Regulation 394,Corporate Governance,"As per SEBI circular, stock brokers must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2023-07-30
395,SEBI Regulation 395,Risk Management,"As per SEBI circular, designated persons must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2023-10-10
396,SEBI Regulation 396,IPO Regulations,The regulation states that listed companies should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2022-01-27
397,SEBI Regulation 397,KYC Norms,"As per SEBI circular, listed companies must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2021-01-28
398,SEBI Regulation 398,IPO Regulations,"As per SEBI circular, portfolio managers must ensure audit records to avoid violations.",SEBI,synthetic,2020-03-06
399,SEBI Regulation 399,Insider Trading,"Under SEBI guidelines, portfolio managers are required to disclose risk assessment reports within 9 days.",SEBI,synthetic,2024-05-20
400,SEBI Regulation 400,Compliance Reporting,The regulation states that stock brokers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2021-10-04
401,SEBI Regulation 401,Insider Trading,"As per SEBI circular, portfolio managers must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2024-09-14
402,SEBI Regulation 402,Risk Management,"As per SEBI circular, portfolio managers must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2023-10-10
403,SEBI Regulation 403,Insider Trading,"Under SEBI guidelines, designated persons are required to disclose insider trading restrictions within 10 days.",SEBI,synthetic,2021-06-16
404,SEBI Regulation 404,KYC Norms,SEBI mandates that all listed companies must comply with transaction monitoring. Failure may result in penalties up to Rs. 23 crores.,SEBI,synthetic,2022-05-15
405,SEBI Regulation 405,Stock Brokers,SEBI mandates that all designated persons must comply with financial disclosures. Failure may result in penalties up to Rs. 21 crores.,SEBI,synthetic,2020-02-29
406,SEBI Regulation 406,Stock Brokers,"As per SEBI circular, listed companies must ensure KYC documentation to avoid violations.",SEBI,synthetic,2020-03-04
407,SEBI Regulation 407,Stock Brokers,"Under SEBI guidelines, stock brokers are required to disclose financial disclosures within 8 days.",SEBI,synthetic,2022-11-27
408,SEBI Regulation 408,Risk Management,"As per SEBI circular, market intermediaries must ensure financial disclosures to avoid violations.",SEBI,synthetic,2021-09-07
409,SEBI Regulation 409,Mutual Funds,Non-compliance with risk assessment reports by stock brokers may attract penalties and legal action.,SEBI,synthetic,2020-06-25
410,SEBI Regulation 410,Insider Trading,"As per SEBI circular, market intermediaries must ensure financial disclosures to avoid violations.",SEBI,synthetic,2024-05-04
411,SEBI Regulation 411,Stock Brokers,"Under SEBI guidelines, listed companies are required to disclose risk assessment reports within 3 days.",SEBI,synthetic,2022-10-10
412,SEBI Regulation 412,Corporate Governance,"As per SEBI circular, stock brokers must ensure audit records to avoid violations.",SEBI,synthetic,2024-10-22
413,SEBI Regulation 413,Corporate Governance,Non-compliance with KYC documentation by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2022-02-20
414,SEBI Regulation 414,Corporate Governance,The regulation states that listed companies should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2023-01-23
415,SEBI Regulation 415,Risk Management,The regulation states that designated persons should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2021-09-26
416,SEBI Regulation 416,Mutual Funds,SEBI mandates that all market intermediaries must comply with transaction monitoring. Failure may result in penalties up to Rs. 15 crores.,SEBI,synthetic,2021-02-23
417,SEBI Regulation 417,Risk Management,SEBI mandates that all stock brokers must comply with transaction monitoring. Failure may result in penalties up to Rs. 5 crores.,SEBI,synthetic,2021-01-29
418,SEBI Regulation 418,Mutual Funds,"As per SEBI circular, market intermediaries must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2021-09-28
419,SEBI Regulation 419,IPO Regulations,"Under SEBI guidelines, stock brokers are required to disclose transaction monitoring within 6 days.",SEBI,synthetic,2021-01-19
420,SEBI Regulation 420,Compliance Reporting,"As per SEBI circular, mutual fund houses must ensure KYC documentation to avoid violations.",SEBI,synthetic,2023-11-14
421,SEBI Regulation 421,Insider Trading,Non-compliance with transaction monitoring by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2024-05-16
422,SEBI Regulation 422,Risk Management,Non-compliance with transaction monitoring by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2021-11-18
423,SEBI Regulation 423,Risk Management,The regulation states that mutual fund houses should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2024-04-26
424,SEBI Regulation 424,Risk Management,The regulation states that designated persons should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2024-09-22
425,SEBI Regulation 425,Mutual Funds,"Under SEBI guidelines, market intermediaries are required to disclose risk assessment reports within 2 days.",SEBI,synthetic,2021-11-24
426,SEBI Regulation 426,Compliance Reporting,SEBI mandates that all designated persons must comply with transaction monitoring. Failure may result in penalties up to Rs. 9 crores.,SEBI,synthetic,2024-03-07
427,SEBI Regulation 427,Stock Brokers,"As per SEBI circular, mutual fund houses must ensure audit records to avoid violations.",SEBI,synthetic,2021-11-09
428,SEBI Regulation 428,KYC Norms,"Under SEBI guidelines, mutual fund houses are required to disclose risk assessment reports within 2 days.",SEBI,synthetic,2020-03-29
429,SEBI Regulation 429,IPO Regulations,Non-compliance with insider trading restrictions by stock brokers may attract penalties and legal action.,SEBI,synthetic,2021-07-30
430,SEBI Regulation 430,Risk Management,"Under SEBI guidelines, market intermediaries are required to disclose audit records within 5 days.",SEBI,synthetic,2024-04-30
431,SEBI Regulation 431,Stock Brokers,SEBI mandates that all portfolio managers must comply with audit records. Failure may result in penalties up to Rs. 30 crores.,SEBI,synthetic,2024-06-13
432,SEBI Regulation 432,Corporate Governance,The regulation states that market intermediaries should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2022-02-06
433,SEBI Regulation 433,Mutual Funds,"Under SEBI guidelines, listed companies are required to disclose transaction monitoring within 6 days.",SEBI,synthetic,2022-07-05
434,SEBI Regulation 434,Compliance Reporting,SEBI mandates that all portfolio managers must comply with transaction monitoring. Failure may result in penalties up to Rs. 39 crores.,SEBI,synthetic,2023-09-21
435,SEBI Regulation 435,Mutual Funds,The regulation states that listed companies should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2023-08-31
436,SEBI Regulation 436,KYC Norms,Non-compliance with audit records by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2021-12-13
437,SEBI Regulation 437,Insider Trading,SEBI mandates that all portfolio managers must comply with audit records. Failure may result in penalties up to Rs. 27 crores.,SEBI,synthetic,2022-06-07
438,SEBI Regulation 438,Insider Trading,"As per SEBI circular, listed companies must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2023-04-27
439,SEBI Regulation 439,Corporate Governance,"Under SEBI guidelines, stock brokers are required to disclose transaction monitoring within 1 days.",SEBI,synthetic,2023-08-28
440,SEBI Regulation 440,Stock Brokers,"Under SEBI guidelines, market intermediaries are required to disclose insider trading restrictions within 8 days.",SEBI,synthetic,2020-08-22
441,SEBI Regulation 441,Mutual Funds,Non-compliance with audit records by listed companies may attract penalties and legal action.,SEBI,synthetic,2024-12-21
442,SEBI Regulation 442,Risk Management,SEBI mandates that all stock brokers must comply with insider trading restrictions. Failure may result in penalties up to Rs. 12 crores.,SEBI,synthetic,2022-07-24
443,SEBI Regulation 443,Compliance Reporting,"As per SEBI circular, listed companies must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2022-03-05
444,SEBI Regulation 444,Compliance Reporting,The regulation states that listed companies should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2022-11-21
445,SEBI Regulation 445,Insider Trading,The regulation states that portfolio managers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2020-08-06
446,SEBI Regulation 446,KYC Norms,"As per SEBI circular, designated persons must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2024-06-18
447,SEBI Regulation 447,Stock Brokers,The regulation states that market intermediaries should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2021-10-19
448,SEBI Regulation 448,Corporate Governance,Non-compliance with transaction monitoring by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2022-06-01
449,SEBI Regulation 449,KYC Norms,The regulation states that mutual fund houses should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2023-04-08
450,SEBI Regulation 450,Stock Brokers,"As per SEBI circular, stock brokers must ensure audit records to avoid violations.",SEBI,synthetic,2022-04-29
451,SEBI Regulation 451,Insider Trading,SEBI mandates that all mutual fund houses must comply with transaction monitoring. Failure may result in penalties up to Rs. 23 crores.,SEBI,synthetic,2023-03-01
452,SEBI Regulation 452,IPO Regulations,"As per SEBI circular, mutual fund houses must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2020-12-03
453,SEBI Regulation 453,Mutual Funds,"Under SEBI guidelines, market intermediaries are required to disclose KYC documentation within 5 days.",SEBI,synthetic,2023-11-02
454,SEBI Regulation 454,KYC Norms,"Under SEBI guidelines, portfolio managers are required to disclose audit records within 8 days.",SEBI,synthetic,2024-03-18
455,SEBI Regulation 455,Compliance Reporting,The regulation states that market intermediaries should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2023-02-28
456,SEBI Regulation 456,Compliance Reporting,The regulation states that listed companies should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2020-02-18
457,SEBI Regulation 457,Corporate Governance,"As per SEBI circular, mutual fund houses must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2020-12-16
458,SEBI Regulation 458,Compliance Reporting,The regulation states that designated persons should maintain audit records for transparency and compliance.,SEBI,synthetic,2020-03-18
459,SEBI Regulation 459,Corporate Governance,"Under SEBI guidelines, mutual fund houses are required to disclose audit records within 4 days.",SEBI,synthetic,2021-07-19
460,SEBI Regulation 460,Risk Management,"As per SEBI circular, stock brokers must ensure financial disclosures to avoid violations.",SEBI,synthetic,2022-12-04
461,SEBI Regulation 461,IPO Regulations,"As per SEBI circular, listed companies must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2020-10-10
462,SEBI Regulation 462,Risk Management,"Under SEBI guidelines, stock brokers are required to disclose risk assessment reports within 3 days.",SEBI,synthetic,2024-11-04
463,SEBI Regulation 463,Insider Trading,Non-compliance with insider trading restrictions by stock brokers may attract penalties and legal action.,SEBI,synthetic,2023-11-27
464,SEBI Regulation 464,Corporate Governance,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2023-09-07
465,SEBI Regulation 465,Stock Brokers,Non-compliance with KYC documentation by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2020-01-05
466,SEBI Regulation 466,Mutual Funds,"Under SEBI guidelines, portfolio managers are required to disclose insider trading restrictions within 7 days.",SEBI,synthetic,2021-08-06
467,SEBI Regulation 467,Risk Management,SEBI mandates that all portfolio managers must comply with risk assessment reports. Failure may result in penalties up to Rs. 24 crores.,SEBI,synthetic,2020-04-27
468,SEBI Regulation 468,Insider Trading,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2022-01-29
469,SEBI Regulation 469,Mutual Funds,"Under SEBI guidelines, market intermediaries are required to disclose KYC documentation within 9 days.",SEBI,synthetic,2021-01-16
470,SEBI Regulation 470,Insider Trading,"Under SEBI guidelines, stock brokers are required to disclose audit records within 5 days.",SEBI,synthetic,2021-05-31
471,SEBI Regulation 471,Stock Brokers,The regulation states that listed companies should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-09-08
472,SEBI Regulation 472,IPO Regulations,The regulation states that stock brokers should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-01-25
473,SEBI Regulation 473,Corporate Governance,"Under SEBI guidelines, portfolio managers are required to disclose KYC documentation within 3 days.",SEBI,synthetic,2022-04-27
474,SEBI Regulation 474,Stock Brokers,Non-compliance with KYC documentation by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2024-02-28
475,SEBI Regulation 475,Risk Management,SEBI mandates that all portfolio managers must comply with risk assessment reports. Failure may result in penalties up to Rs. 28 crores.,SEBI,synthetic,2021-08-09
476,SEBI Regulation 476,KYC Norms,Non-compliance with KYC documentation by listed companies may attract penalties and legal action.,SEBI,synthetic,2022-01-14
477,SEBI Regulation 477,Insider Trading,Non-compliance with KYC documentation by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2020-12-12
478,SEBI Regulation 478,Corporate Governance,"Under SEBI guidelines, designated persons are required to disclose audit records within 7 days.",SEBI,synthetic,2024-09-22
479,SEBI Regulation 479,Compliance Reporting,SEBI mandates that all mutual fund houses must comply with risk assessment reports. Failure may result in penalties up to Rs. 22 crores.,SEBI,synthetic,2022-10-07
480,SEBI Regulation 480,Stock Brokers,"Under SEBI guidelines, listed companies are required to disclose audit records within 5 days.",SEBI,synthetic,2024-05-07
481,SEBI Regulation 481,Risk Management,"Under SEBI guidelines, mutual fund houses are required to disclose insider trading restrictions within 10 days.",SEBI,synthetic,2024-08-23
482,SEBI Regulation 482,Insider Trading,"As per SEBI circular, portfolio managers must ensure audit records to avoid violations.",SEBI,synthetic,2024-08-04
483,SEBI Regulation 483,KYC Norms,"As per SEBI circular, designated persons must ensure KYC documentation to avoid violations.",SEBI,synthetic,2020-02-14
484,SEBI Regulation 484,Mutual Funds,"Under SEBI guidelines, portfolio managers are required to disclose transaction monitoring within 9 days.",SEBI,synthetic,2021-07-29
485,SEBI Regulation 485,Compliance Reporting,Non-compliance with financial disclosures by stock brokers may attract penalties and legal action.,SEBI,synthetic,2022-05-04
486,SEBI Regulation 486,Corporate Governance,SEBI mandates that all mutual fund houses must comply with audit records. Failure may result in penalties up to Rs. 33 crores.,SEBI,synthetic,2022-07-13
487,SEBI Regulation 487,Insider Trading,"Under SEBI guidelines, market intermediaries are required to disclose insider trading restrictions within 8 days.",SEBI,synthetic,2023-06-06
488,SEBI Regulation 488,Corporate Governance,"Under SEBI guidelines, mutual fund houses are required to disclose insider trading restrictions within 1 days.",SEBI,synthetic,2020-04-14
489,SEBI Regulation 489,Mutual Funds,"Under SEBI guidelines, mutual fund houses are required to disclose KYC documentation within 10 days.",SEBI,synthetic,2023-10-13
490,SEBI Regulation 490,Compliance Reporting,"Under SEBI guidelines, portfolio managers are required to disclose insider trading restrictions within 7 days.",SEBI,synthetic,2020-03-17
491,SEBI Regulation 491,Compliance Reporting,Non-compliance with KYC documentation by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2024-11-27
492,SEBI Regulation 492,KYC Norms,"Under SEBI guidelines, portfolio managers are required to disclose insider trading restrictions within 1 days.",SEBI,synthetic,2020-02-24
493,SEBI Regulation 493,Corporate Governance,SEBI mandates that all designated persons must comply with insider trading restrictions. Failure may result in penalties up to Rs. 4 crores.,SEBI,synthetic,2024-01-17
494,SEBI Regulation 494,Corporate Governance,"Under SEBI guidelines, stock brokers are required to disclose KYC documentation within 3 days.",SEBI,synthetic,2024-04-18
495,SEBI Regulation 495,IPO Regulations,SEBI mandates that all portfolio managers must comply with insider trading restrictions. Failure may result in penalties up to Rs. 16 crores.,SEBI,synthetic,2024-04-26
496,SEBI Regulation 496,KYC Norms,The regulation states that mutual fund houses should maintain audit records for transparency and compliance.,SEBI,synthetic,2020-05-09
497,SEBI Regulation 497,Stock Brokers,Non-compliance with KYC documentation by stock brokers may attract penalties and legal action.,SEBI,synthetic,2020-05-02
498,SEBI Regulation 498,Stock Brokers,The regulation states that mutual fund houses should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2022-04-28
499,SEBI Regulation 499,Compliance Reporting,Non-compliance with financial disclosures by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2020-12-13
500,SEBI Regulation 500,Risk Management,SEBI mandates that all designated persons must comply with audit records. Failure may result in penalties up to Rs. 20 crores.,SEBI,synthetic,2020-12-03
501,SEBI Regulation 501,Corporate Governance,Non-compliance with financial disclosures by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2023-09-07
502,SEBI Regulation 502,Stock Brokers,The regulation states that listed companies should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2020-05-02
503,SEBI Regulation 503,Mutual Funds,The regulation states that designated persons should maintain audit records for transparency and compliance.,SEBI,synthetic,2023-10-19
504,SEBI Regulation 504,Insider Trading,"Under SEBI guidelines, listed companies are required to disclose financial disclosures within 2 days.",SEBI,synthetic,2024-01-24
505,SEBI Regulation 505,Risk Management,The regulation states that stock brokers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2022-02-10
506,SEBI Regulation 506,Risk Management,"As per SEBI circular, stock brokers must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2023-10-16
507,SEBI Regulation 507,Stock Brokers,Non-compliance with transaction monitoring by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2022-12-12
508,SEBI Regulation 508,Mutual Funds,Non-compliance with audit records by stock brokers may attract penalties and legal action.,SEBI,synthetic,2022-03-02
509,SEBI Regulation 509,KYC Norms,"As per SEBI circular, stock brokers must ensure audit records to avoid violations.",SEBI,synthetic,2023-05-03
510,SEBI Regulation 510,Compliance Reporting,SEBI mandates that all mutual fund houses must comply with insider trading restrictions. Failure may result in penalties up to Rs. 37 crores.,SEBI,synthetic,2020-04-12
511,SEBI Regulation 511,KYC Norms,Non-compliance with risk assessment reports by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2023-09-19
512,SEBI Regulation 512,Mutual Funds,The regulation states that stock brokers should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2020-10-05
513,SEBI Regulation 513,Risk Management,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2023-02-11
514,SEBI Regulation 514,Risk Management,SEBI mandates that all stock brokers must comply with audit records. Failure may result in penalties up to Rs. 27 crores.,SEBI,synthetic,2023-06-18
515,SEBI Regulation 515,IPO Regulations,SEBI mandates that all designated persons must comply with transaction monitoring. Failure may result in penalties up to Rs. 16 crores.,SEBI,synthetic,2022-07-12
516,SEBI Regulation 516,KYC Norms,SEBI mandates that all portfolio managers must comply with audit records. Failure may result in penalties up to Rs. 41 crores.,SEBI,synthetic,2021-11-07
517,SEBI Regulation 517,Insider Trading,Non-compliance with risk assessment reports by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2022-01-24
518,SEBI Regulation 518,Stock Brokers,The regulation states that listed companies should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2020-07-27
519,SEBI Regulation 519,Risk Management,"Under SEBI guidelines, designated persons are required to disclose KYC documentation within 10 days.",SEBI,synthetic,2021-04-28
520,SEBI Regulation 520,Stock Brokers,The regulation states that portfolio managers should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2024-01-24
521,SEBI Regulation 521,Stock Brokers,The regulation states that market intermediaries should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2022-11-15
522,SEBI Regulation 522,IPO Regulations,The regulation states that portfolio managers should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2021-06-30
523,SEBI Regulation 523,Risk Management,"Under SEBI guidelines, listed companies are required to disclose audit records within 3 days.",SEBI,synthetic,2020-10-21
524,SEBI Regulation 524,Risk Management,The regulation states that designated persons should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2020-05-07
525,SEBI Regulation 525,KYC Norms,"Under SEBI guidelines, stock brokers are required to disclose KYC documentation within 3 days.",SEBI,synthetic,2022-11-20
526,SEBI Regulation 526,IPO Regulations,Non-compliance with risk assessment reports by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2023-03-15
527,SEBI Regulation 527,Risk Management,"As per SEBI circular, designated persons must ensure audit records to avoid violations.",SEBI,synthetic,2024-12-18
528,SEBI Regulation 528,Risk Management,Non-compliance with KYC documentation by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2022-12-25
529,SEBI Regulation 529,Corporate Governance,The regulation states that stock brokers should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-01-07
530,SEBI Regulation 530,Risk Management,"Under SEBI guidelines, mutual fund houses are required to disclose insider trading restrictions within 3 days.",SEBI,synthetic,2021-06-26
531,SEBI Regulation 531,Corporate Governance,Non-compliance with KYC documentation by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2024-03-22
532,SEBI Regulation 532,Risk Management,The regulation states that designated persons should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2020-03-14
533,SEBI Regulation 533,Stock Brokers,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2023-05-28
534,SEBI Regulation 534,IPO Regulations,SEBI mandates that all listed companies must comply with risk assessment reports. Failure may result in penalties up to Rs. 39 crores.,SEBI,synthetic,2021-07-01
535,SEBI Regulation 535,Corporate Governance,"As per SEBI circular, mutual fund houses must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2024-01-05
536,SEBI Regulation 536,Compliance Reporting,The regulation states that stock brokers should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-08-12
537,SEBI Regulation 537,KYC Norms,"As per SEBI circular, portfolio managers must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2024-12-02
538,SEBI Regulation 538,Risk Management,"Under SEBI guidelines, market intermediaries are required to disclose KYC documentation within 8 days.",SEBI,synthetic,2024-07-27
539,SEBI Regulation 539,IPO Regulations,Non-compliance with transaction monitoring by designated persons may attract penalties and legal action.,SEBI,synthetic,2021-10-03
540,SEBI Regulation 540,Insider Trading,"As per SEBI circular, mutual fund houses must ensure financial disclosures to avoid violations.",SEBI,synthetic,2024-08-08
541,SEBI Regulation 541,Insider Trading,Non-compliance with transaction monitoring by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2022-02-09
542,SEBI Regulation 542,Stock Brokers,"As per SEBI circular, mutual fund houses must ensure financial disclosures to avoid violations.",SEBI,synthetic,2020-02-08
543,SEBI Regulation 543,Risk Management,The regulation states that market intermediaries should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-05-06
544,SEBI Regulation 544,KYC Norms,SEBI mandates that all portfolio managers must comply with risk assessment reports. Failure may result in penalties up to Rs. 49 crores.,SEBI,synthetic,2022-04-20
545,SEBI Regulation 545,Stock Brokers,"As per SEBI circular, mutual fund houses must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2024-04-25
546,SEBI Regulation 546,Compliance Reporting,"Under SEBI guidelines, designated persons are required to disclose financial disclosures within 8 days.",SEBI,synthetic,2022-10-21
547,SEBI Regulation 547,KYC Norms,SEBI mandates that all designated persons must comply with KYC documentation. Failure may result in penalties up to Rs. 28 crores.,SEBI,synthetic,2024-02-13
548,SEBI Regulation 548,Compliance Reporting,The regulation states that portfolio managers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2024-06-20
549,SEBI Regulation 549,IPO Regulations,"Under SEBI guidelines, portfolio managers are required to disclose audit records within 5 days.",SEBI,synthetic,2023-02-23
550,SEBI Regulation 550,Stock Brokers,SEBI mandates that all market intermediaries must comply with audit records. Failure may result in penalties up to Rs. 32 crores.,SEBI,synthetic,2022-01-16
551,SEBI Regulation 551,IPO Regulations,Non-compliance with financial disclosures by stock brokers may attract penalties and legal action.,SEBI,synthetic,2023-02-14
552,SEBI Regulation 552,Mutual Funds,Non-compliance with risk assessment reports by designated persons may attract penalties and legal action.,SEBI,synthetic,2024-09-23
553,SEBI Regulation 553,Compliance Reporting,"Under SEBI guidelines, designated persons are required to disclose audit records within 7 days.",SEBI,synthetic,2020-08-02
554,SEBI Regulation 554,Corporate Governance,Non-compliance with transaction monitoring by designated persons may attract penalties and legal action.,SEBI,synthetic,2024-10-19
555,SEBI Regulation 555,IPO Regulations,"As per SEBI circular, mutual fund houses must ensure financial disclosures to avoid violations.",SEBI,synthetic,2022-08-14
556,SEBI Regulation 556,KYC Norms,SEBI mandates that all mutual fund houses must comply with audit records. Failure may result in penalties up to Rs. 46 crores.,SEBI,synthetic,2021-08-08
557,SEBI Regulation 557,Stock Brokers,SEBI mandates that all listed companies must comply with transaction monitoring. Failure may result in penalties up to Rs. 26 crores.,SEBI,synthetic,2024-10-22
558,SEBI Regulation 558,KYC Norms,"Under SEBI guidelines, listed companies are required to disclose audit records within 3 days.",SEBI,synthetic,2022-05-18
559,SEBI Regulation 559,Corporate Governance,"Under SEBI guidelines, stock brokers are required to disclose financial disclosures within 9 days.",SEBI,synthetic,2023-02-04
560,SEBI Regulation 560,Corporate Governance,Non-compliance with KYC documentation by designated persons may attract penalties and legal action.,SEBI,synthetic,2023-03-18
561,SEBI Regulation 561,Compliance Reporting,Non-compliance with audit records by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2023-12-06
562,SEBI Regulation 562,KYC Norms,"Under SEBI guidelines, portfolio managers are required to disclose insider trading restrictions within 8 days.",SEBI,synthetic,2022-12-24
563,SEBI Regulation 563,Compliance Reporting,"As per SEBI circular, listed companies must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2020-06-18
564,SEBI Regulation 564,Insider Trading,The regulation states that designated persons should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2023-05-30
565,SEBI Regulation 565,Corporate Governance,"As per SEBI circular, listed companies must ensure financial disclosures to avoid violations.",SEBI,synthetic,2020-01-20
566,SEBI Regulation 566,Corporate Governance,The regulation states that designated persons should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-03-15
567,SEBI Regulation 567,KYC Norms,"As per SEBI circular, designated persons must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2024-05-01
568,SEBI Regulation 568,Compliance Reporting,The regulation states that market intermediaries should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-12-22
569,SEBI Regulation 569,Compliance Reporting,"As per SEBI circular, designated persons must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2022-02-15
570,SEBI Regulation 570,KYC Norms,SEBI mandates that all designated persons must comply with financial disclosures. Failure may result in penalties up to Rs. 39 crores.,SEBI,synthetic,2024-04-15
571,SEBI Regulation 571,Compliance Reporting,Non-compliance with risk assessment reports by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2024-06-14
